,NP,CID,Canonical_smiles,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi
0,Ag,23954,[Ag],11,107.868,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,1.7837651700316897,0.0,0.0,0.0,0.0,0.30151134457776363,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.09113693324219628,2.143768512189564,0.1586019357721338
1,Ag2O,9794626,[O-2].[Ag+].[Ag+],28,231.73499999999999,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.11603689490542,28.5,-0.12380000000000001,0.6865,3.975778630527242,0.0,0.0,0.0,0.0,1.0112709796193902,0.0,0.0,0.0,0.0,1.4405194805194808,25.330487643719056,9.87530020636107,3.440519480519478,83.3820566184151
2,AgO,135566480,CNC1=CC=CC=C1C(=O)OC2C(OC(C2=O)N3C=NC4=C3N=C(NC4=O)N)COP(=O)(O)OP(=O)(NP(=O)(O)O)O,228,653.3310000000005,21.0,9.0,11.0,8.0,15.0,42.0,64.0,24.0,0.0,0.2777777777777778,4.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,5.0,5.0,232.94020890485092,316.84000000000003,-0.6480999999999997,138.5377000000001,23.641159636531135,15.944235785252616,9.630532413054425,9.630532413054425,7.211975803030339,20.957878063531385,11.25891836423203,5.391228096682182,5.391228096682182,3.777581786187944,-3.3200000000000007,31.61206258450271,11.751769373079682,7.173766544117197,8.84518259286755
3,Al2O3,9989226,[O-2].[O-2].[O-2].[Al+3].[Al+3],24,101.961,3.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.557764029120236,85.5,-1.118,13.567499999999999,4.688846486529344,0.0,0.0,0.0,0.0,2.379445409770841,0.0,0.0,0.0,0.0,0.9449350649350646,162.8037374988371,86.18593161923442,48.02950478755935,2806.2783574861132
4,Au,23985,[Au],11,196.967,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.30151134457776363,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.09113693324219628,2.143768512189564,0.1586019357721338
5,Bi2O3,14776,O=[Bi]O[Bi]=O,28,465.957,3.0,0.0,2.0,0.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.34711598949038,43.370000000000005,-1.0676,13.966,9.073311619531022,6.40832791503889,5.1333333333333355,5.1333333333333355,1.047837278857249,2.119172062391505,0.7302967433402215,0.06666666666666668,0.06666666666666668,0.013608276348795438,1.326233766233766,6.326233766233766,5.326233766233766,5.326233766233769,6.7389999797605
6,C,5462310,[C],4,12.011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.739251027829551,0.0,0.08129,3.243,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Ca(HCO3)2,10176262,C(=O)(O)[O-].C(=O)(O)[O-].[Ca+2],48,162.10999999999999,6.0,2.0,0.0,2.0,4.0,9.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.72577149985115,120.72000000000001,-2.6054000000000004,21.8036,6.442896300278019,1.2637101764276841,0.0,0.0,0.0,4.234527134041915,1.2637101764276841,0.0,0.0,0.0,-0.20025974025974014,15.915234638151631,10.721306190260716,6541.99084080631,18.959122627274095
8,CeO2,73963,O=[Ce]=O,16,172.114,2.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.19032095477321,34.14,-0.2376,1.373,4.456551525567985,2.972092416687835,0.0,0.0,0.0,1.3164965809277263,0.4082482904638631,0.0,0.0,0.0,0.976623376623377,3.9766233766233765,2.976623376623377,2.976623376623377,3.9456367009613764
9,Co,104730,[Co],9,58.933,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.68851124136627,0.0,-0.0025,0.0,1.3743685418725535,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5064935064935063,1.5064935064935063,0.48085248085248133,4.403929403929406,0.7244011399855562
