,Bacteria,Drug,reference,time (hr),MDR,Phylum,Class,Order,Family,Genus,bac_type,gram,"min_Incub_period, h","growth_temp, C",isolated_from,MaxAbsEStateIndex,MinEStateIndex,MolWt,PEOE_VSA11,PEOE_VSA13,PEOE_VSA8,SMR_VSA2,SMR_VSA9,MIC_drug_log
0,Staphylococcus aureus,Gentamicin,https://www.nature.com/articles/srep29982,24,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,0.223143551
1,Pseudomonas aeruginosa,Gentamicin,https://www.nature.com/articles/srep29982,24,0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24,37,soil,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,-0.470003629
2,Escherichia coli,Gentamicin,https://www.nature.com/articles/srep29982,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,-1.16315081
3,Staphylococcus aureus,Tetracycline,https://www.nature.com/articles/srep29982,24,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,13.31369504,-2.745033659,444.44,11.38429576,5.907179729,17.40891662,0,5.749511833,0.223143551
4,Pseudomonas aeruginosa,Tetracycline,https://www.nature.com/articles/srep29982,24,0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24,37,soil,13.31369504,-2.745033659,444.44,11.38429576,5.907179729,17.40891662,0,5.749511833,0.223143551
5,Escherichia coli,Tetracycline,https://www.nature.com/articles/srep29982,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,13.31369504,-2.745033659,444.44,11.38429576,5.907179729,17.40891662,0,5.749511833,-0.470003629
6,Salmonella enterica,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,pathogenic,n,12,37,food,12.3475389,-1.056554474,365.411,0,0,4.747022453,0,5.749511833,0
7,Staphylococcus aureus,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,12.3475389,-1.056554474,365.411,0,0,4.747022453,0,5.749511833,0.693147181
8,Escherichia coli,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,12.3475389,-1.056554474,365.411,0,0,4.747022453,0,5.749511833,3.465735903
9,Actinobacillus pleuropneumoniae,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,1,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,opportunistic pathogen,n,24,37,lungs,12.3475389,-1.056554474,365.411,0,0,4.747022453,0,5.749511833,3.465735903
10,Pasteurella Multocida,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,opportunistic pathogen,n,12,37,lungs,12.3475389,-1.056554474,365.411,0,0,4.747022453,0,5.749511833,-1.386294361
