,NP,NP_Synthesis,NP size_avg (nm),shape,method,Bacteria,Drug,reference,time (hr),MDR,amw,Phylum,Class,Order,Family,Genus,Superkingdom,Species,bac_type,gram,"min_Incub_period, h","growth_temp, C",isolated_from,MaxAbsEStateIndex,MinEStateIndex,SPS,MolWt,PEOE_VSA11,PEOE_VSA13,PEOE_VSA4,PEOE_VSA8,SMR_VSA2,SMR_VSA7,SlogP_VSA8,EState_VSA6,EState_VSA7,fr_alkyl_halide,fr_allylic_oxid,MIC_NP_log,Drug_class,MIC_drug_log,MIC_drug_NP_log
0,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Salmonella enterica,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica,pathogenic,n,12.0,37,food,12.3475389,-1.056554474,28.04,365.411,0.0,0.0,0.0,4.747022453,0.0,29.82891977,0.0,13.8474744,0.0,0,0,2.525728644,Lactams,0.0,0.0
1,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Staphylococcus aureus,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37,skin,12.3475389,-1.056554474,28.04,365.411,0.0,0.0,0.0,4.747022453,0.0,29.82891977,0.0,13.8474744,0.0,0,0,3.218875825,Lactams,0.6931471805599453,-0.6931471805599453
2,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Escherichia coli,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,1,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37,urine,12.3475389,-1.056554474,28.04,365.411,0.0,0.0,0.0,4.747022453,0.0,29.82891977,0.0,13.8474744,0.0,0,0,1.840549633,Lactams,3.4657359027997265,3.4657359027997265
3,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Actinobacillus pleuropneumoniae,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,1,107.868,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Bacteria,Actinobacillus pleuropneumoniae,opportunistic pathogen,n,24.0,37,lungs,12.3475389,-1.056554474,28.04,365.411,0.0,0.0,0.0,4.747022453,0.0,29.82891977,0.0,13.8474744,0.0,0,0,3.218875825,Lactams,3.4657359027997265,2.0794415416798357
4,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Pasteurella Multocida,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Bacteria,Pasteurella multocida,opportunistic pathogen,n,12.0,37,lungs,12.3475389,-1.056554474,28.04,365.411,0.0,0.0,0.0,4.747022453,0.0,29.82891977,0.0,13.8474744,0.0,0,0,4.605170186,Lactams,-1.3862943611198906,-2.0794415416798357
5,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Streptococcus uberis,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Bacteria,Streptococcus uberis,pathogenic,p,24.0,37,mammary gland,12.3475389,-1.056554474,28.04,365.411,0.0,0.0,0.0,4.747022453,0.0,29.82891977,0.0,13.8474744,0.0,0,0,1.840549633,Lactams,-1.3862943611198906,-1.3862943611198906
6,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Salmonella enterica,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica,pathogenic,n,12.0,37,food,12.3475389,-1.056554474,28.04,365.411,0.0,0.0,0.0,4.747022453,0.0,29.82891977,0.0,13.8474744,0.0,0,0,3.218875825,Lactams,0.0,0.0
7,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Staphylococcus aureus,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37,skin,12.3475389,-1.056554474,28.04,365.411,0.0,0.0,0.0,4.747022453,0.0,29.82891977,0.0,13.8474744,0.0,0,0,3.912023005,Lactams,0.6931471805599453,0.0
8,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Escherichia coli,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,1,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37,urine,12.3475389,-1.056554474,28.04,365.411,0.0,0.0,0.0,4.747022453,0.0,29.82891977,0.0,13.8474744,0.0,0,0,3.218875825,Lactams,3.4657359027997265,3.4657359027997265
9,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Actinobacillus pleuropneumoniae,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,1,107.868,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Bacteria,Actinobacillus pleuropneumoniae,opportunistic pathogen,n,24.0,37,lungs,12.3475389,-1.056554474,28.04,365.411,0.0,0.0,0.0,4.747022453,0.0,29.82891977,0.0,13.8474744,0.0,0,0,3.912023005,Lactams,3.4657359027997265,2.0794415416798357
10,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Pasteurella Multocida,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Bacteria,Pasteurella multocida,opportunistic pathogen,n,12.0,37,lungs,12.3475389,-1.056554474,28.04,365.411,0.0,0.0,0.0,4.747022453,0.0,29.82891977,0.0,13.8474744,0.0,0,0,3.912023005,Lactams,-1.3862943611198906,-1.3862943611198906
11,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Streptococcus uberis,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Bacteria,Streptococcus uberis,pathogenic,p,24.0,37,mammary gland,12.3475389,-1.056554474,28.04,365.411,0.0,0.0,0.0,4.747022453,0.0,29.82891977,0.0,13.8474744,0.0,0,0,1.840549633,Lactams,-1.3862943611198906,-1.3862943611198906
12,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Salmonella enterica,penicillin G,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica,pathogenic,n,12.0,37,food,12.26831885,-1.007025846,28.0,334.397,0.0,0.0,0.0,4.747022453,0.0,35.89528683,0.0,0.0,44.17930974,0,0,2.525728644,Carboxylic acids and derivatives,0.6931471805599453,0.0
13,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Staphylococcus aureus,penicillin G,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37,skin,12.26831885,-1.007025846,28.0,334.397,0.0,0.0,0.0,4.747022453,0.0,35.89528683,0.0,0.0,44.17930974,0,0,3.218875825,Carboxylic acids and derivatives,0.0,-2.0794415416798357
