,NP,NP_Synthesis,NP size_avg (nm),shape,method,Bacteria,Drug,Drug_class,reference,time (hr),Valance_electron,amw,Phylum,Class,Order,Family,Genus,Superkingdom,Species,bac_type,gram,"avg_Incub_period, h","growth_temp, C",isolated_from,MaxAbsEStateIndex,MinEStateIndex,SPS,MolWt,PEOE_VSA13,PEOE_VSA4,PEOE_VSA8,SMR_VSA2,SMR_VSA7,EState_VSA5,EState_VSA6,EState_VSA7,fr_alkyl_halide,fr_allylic_oxid,MIC_NP_log,MIC_drug_log,MIC_drug_NP_log
0,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Escherichia coli,Ciprofloxacin,Quinolines,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,84.0,37,urine,14.60768519,-1.27510223,18.125,331.347,0.0,0.0,43.80393424,0.0,39.93357762,12.26321064,6.066367068,9.467009379,0,0,2.270968211,-4.199705078,-4.199705077879927
1,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Klebsiella aerogenes,Ceftazidime,Lactams,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella aerogenes,opportunistic pathogen,n,36.0,30,water,13.11432809,-1.753218546,19.67567568,546.587,11.81435946,0.0,28.83875504,0.0,52.93692296,30.98942212,29.09352093,6.066367068,0,0,2.618575778,-4.199705078,-4.199705077879927
2,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Klebsiella aerogenes,Ceftriaxone,Lactams,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella aerogenes,opportunistic pathogen,n,36.0,30,water,12.91680492,-1.306214252,19.55555556,554.592,17.6943478,4.983978521,23.93344197,0.0,32.69793869,35.98122018,0.0,0.0,0,0,2.618575778,-4.199705078,-4.199705077879927
3,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Klebsiella aerogenes,Ciprofloxacin,Quinolines,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella aerogenes,opportunistic pathogen,n,36.0,30,water,14.60768519,-1.27510223,18.125,331.347,0.0,0.0,43.80393424,0.0,39.93357762,12.26321064,6.066367068,9.467009379,0,0,2.618575778,-4.199705078,-4.199705077879927
4,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Shigella sonnei,Ciprofloxacin,Quinolines,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Bacteria,Shigella sonnei,pathogenic,n,54.0,37,water,14.60768519,-1.27510223,18.125,331.347,0.0,0.0,43.80393424,0.0,39.93357762,12.26321064,6.066367068,9.467009379,0,0,2.178163637,-4.199705078,-4.199705077879927
5,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Staphylococcus aureus,Ciprofloxacin,Quinolines,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,36.0,37,skin,14.60768519,-1.27510223,18.125,331.347,0.0,0.0,43.80393424,0.0,39.93357762,12.26321064,6.066367068,9.467009379,0,0,2.20428759,-4.199705078,-4.199705077879927
6,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MBC,Escherichia coli,Ciprofloxacin,Quinolines,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,84.0,37,urine,14.60768519,-1.27510223,18.125,331.347,0.0,0.0,43.80393424,0.0,39.93357762,12.26321064,6.066367068,9.467009379,0,0,2.781357142,-4.199705078,-4.199705077879927
7,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MBC,Klebsiella aerogenes,Ceftriaxone,Lactams,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella aerogenes,opportunistic pathogen,n,36.0,30,water,12.91680492,-1.306214252,19.55555556,554.592,17.6943478,4.983978521,23.93344197,0.0,32.69793869,35.98122018,0.0,0.0,0,0,3.263460244,-4.199705078,-4.199705077879927
8,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MBC,Klebsiella aerogenes,Ciprofloxacin,Quinolines,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella aerogenes,opportunistic pathogen,n,36.0,30,water,14.60768519,-1.27510223,18.125,331.347,0.0,0.0,43.80393424,0.0,39.93357762,12.26321064,6.066367068,9.467009379,0,0,3.263460244,-4.199705078,-4.199705077879927
9,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MBC,Shigella sonnei,Ciprofloxacin,Quinolines,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Bacteria,Shigella sonnei,pathogenic,n,54.0,37,water,14.60768519,-1.27510223,18.125,331.347,0.0,0.0,43.80393424,0.0,39.93357762,12.26321064,6.066367068,9.467009379,0,0,2.868845895,-4.199705078,-4.199705077879927
