,NP,NP_Synthesis,Drug,Drug_class,Drug_dose (μg/disk),NP_concentration (μg/ml),NP size_avg (nm),shape,method,Bacteria,Drug,reference,amw,lipinskiHBA,chi4v,Phylum,Class,Order,Family,Genus,Superkingdom,Species,bac_type,gram,"avg_Incub_period, h","growth_temp, C",isolated_from,MaxAbsEStateIndex,MinEStateIndex,SPS,MolWt,BCUT2D_MWHI,AvgIpc,BalabanJ,PEOE_VSA13,PEOE_VSA14,PEOE_VSA4,PEOE_VSA6,PEOE_VSA8,SlogP_VSA4,SlogP_VSA8,EState_VSA6,EState_VSA7,VSA_EState9,NumAliphaticCarbocycles,fr_ArN,fr_alkyl_halide,fr_allylic_oxid,ZOI_NP (mm),ZOI_drug (mm),ZOI_Drug_NP (mm)
0,Ag,green_synthesis using Acinetobacter calcoaceticus,Trimethoprim,phenol ethers,30.0,15.0,10.0,spherical,disc_diffusion,Streptococcus mutans,Trimethoprim,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Bacteria,Streptococcus mutans,pathogenic,p,36.0,37,carious dentine,5.848108466,0.15383521,10.23809524,290.323,16.52993347,2.485378414,2.397562137,0.0,0.0,4.983978521,0.0,18.18111669,0.0,0.0,27.5262362,12.13273414,4.703740547,0,2,0,0,6.379314218,6.0,6.0
1,Ag,green_synthesis using Acinetobacter calcoaceticus,Amoxicillin,Lactams,30.0,15.0,10.0,spherical,disc_diffusion,Shigella sonnei,Amoxicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Bacteria,Shigella sonnei,pathogenic,n,54.0,37,water,12.3475389,-1.056554474,28.04,365.411,32.16690631,2.80360909,1.704346484,0.0,5.969305288,0.0,12.13273414,4.747022453,0.0,0.0,13.8474744,0.0,0.0,0,0,0,0,7.259130064,8.0,6.0
2,Ag,green_synthesis using Acinetobacter calcoaceticus,Kanamycin,Organooxygen compounds,30.0,15.0,10.0,spherical,disc_diffusion,Acinetobacter baumannii,Kanamycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,36.0,37,urine,10.93437059,-1.661604858,53.72727273,484.503,16.72393442,2.785013665,1.722064446,0.0,0.0,0.0,0.0,18.62843806,0.0,0.0,0.0,0.0,0.0,1,0,0,0,9.185204854,6.0,6.0
3,Ag,green_synthesis using Acinetobacter calcoaceticus,Amoxicillin,Lactams,30.0,15.0,10.0,spherical,disc_diffusion,Acinetobacter baumannii,Amoxicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,36.0,37,urine,12.3475389,-1.056554474,28.04,365.411,32.16690631,2.80360909,1.704346484,0.0,5.969305288,0.0,12.13273414,4.747022453,0.0,0.0,13.8474744,0.0,0.0,0,0,0,0,9.185204854,6.0,6.0
4,Ag,green_synthesis using Acinetobacter calcoaceticus,Ceftazidime,Lactams,30.0,15.0,10.0,spherical,disc_diffusion,Acinetobacter baumannii,Ceftazidime,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,36.0,37,urine,13.11432809,-1.753218546,19.67567568,546.587,32.1666812,3.279136562,1.551044932,11.81435946,5.969305288,0.0,11.2220798,28.83875504,0.0,0.0,29.09352093,6.066367068,0.0,0,1,0,0,9.185204854,6.0,6.0
5,Ag,green_synthesis using Acinetobacter calcoaceticus,Ceftriaxone,Lactams,30.0,15.0,10.0,spherical,disc_diffusion,Acinetobacter baumannii,Ceftriaxone,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,36.0,37,urine,12.91680492,-1.306214252,19.55555556,554.592,32.16802576,3.266455922,1.507133729,17.6943478,11.52857218,4.983978521,16.91759768,23.93344197,0.0,0.0,0.0,0.0,2.723496797,0,1,0,0,9.185204854,6.0,6.0
6,Ag,green_synthesis using Acinetobacter calcoaceticus,Amikacin,Organooxygen compounds,30.0,15.0,10.0,spherical,disc_diffusion,Acinetobacter baumannii,Amikacin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,36.0,37,urine,12.57843074,-1.755830655,47.05,585.608,16.72419483,2.923761602,1.847903729,0.0,0.0,0.0,0.0,12.58659724,0.0,0.0,0.0,0.0,0.0,1,0,0,0,9.185204854,8.0,6.0
7,Ag,green_synthesis using Acinetobacter calcoaceticus,Ampicillin,Organoheterocyclic compounds,30.0,15.0,10.0,spherical,disc_diffusion,Acinetobacter baumannii,Ampicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,36.0,37,urine,12.33417297,-1.033228263,28.70833333,349.412,32.16690623,2.80395312,1.711293316,0.0,5.969305288,0.0,30.33183534,4.747022453,0.0,0.0,38.11294267,6.066367068,0.0,0,0,0,0,9.185204854,8.0,6.0
8,Ag,green_synthesis using Acinetobacter calcoaceticus,Gentamicin,Aminoglycoside ,30.0,15.0,10.0,spherical,disc_diffusion,Acinetobacter baumannii,Gentamicin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,36.0,37,urine,11.12947795,-1.286897326,50.18181818,477.603,16.71320241,2.756468014,1.684740507,0.0,0.0,0.0,0.0,18.12552249,0.0,0.0,13.97140918,13.97140918,3.492765241,1,0,0,0,9.185204854,10.0,6.0
9,Ag,green_synthesis using Acinetobacter calcoaceticus,Amoxicillin,Lactams,30.0,15.0,10.0,spherical,disc_diffusion,Staphylococcus aureus,Amoxicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,36.0,37,skin,12.3475389,-1.056554474,28.04,365.411,32.16690631,2.80360909,1.704346484,0.0,5.969305288,0.0,12.13273414,4.747022453,0.0,0.0,13.8474744,0.0,0.0,0,0,0,0,9.25096953,6.0,6.0
10,Ag,green_synthesis using Acinetobacter calcoaceticus,Chloramphenicol,Benzene derivatives,30.0,15.0,10.0,spherical,disc_diffusion,Staphylococcus aureus,Chloramphenicol,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,36.0,37,skin,11.30478637,-1.325823356,13.85,323.132,35.53916853,2.431670248,2.82115815,11.594566,0.0,0.0,23.20187978,12.13273414,10.11431827,0.0,0.0,0.0,0.0,0,0,2,0,9.25096953,6.0,6.0
11,Ag,green_synthesis using Acinetobacter calcoaceticus,Vancomycin,carboxylic acids,30.0,15.0,10.0,spherical,disc_diffusion,Staphylococcus aureus,Vancomycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,36.0,37,skin,16.01721414,-2.345197559,29.43564356,1449.271,35.49679308,0.775398175,1.239428306,0.0,5.969305288,0.0,55.24845539,34.71646842,5.917906046,11.12690298,0.0,13.8474744,1.472308693,0,0,0,0,9.25096953,8.0,6.0
12,Ag,green_synthesis using Acinetobacter calcoaceticus,Ampicillin,Organoheterocyclic compounds,30.0,15.0,10.0,spherical,disc_diffusion,Pseudomonas aeruginosa,Ampicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,48.0,37,soil,12.33417297,-1.033228263,28.70833333,349.412,32.16690623,2.80395312,1.711293316,0.0,5.969305288,0.0,30.33183534,4.747022453,0.0,0.0,38.11294267,6.066367068,0.0,0,0,0,0,11.67010682,7.0,6.0
13,Ag,green_synthesis using Acinetobacter calcoaceticus,Vancomycin,carboxylic acids,30.0,15.0,10.0,spherical,disc_diffusion,Pseudomonas aeruginosa,Vancomycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,48.0,37,soil,16.01721414,-2.345197559,29.43564356,1449.271,35.49679308,0.775398175,1.239428306,0.0,5.969305288,0.0,55.24845539,34.71646842,5.917906046,11.12690298,0.0,13.8474744,1.472308693,0,0,0,0,11.67010682,8.0,6.0
14,Ag,green_synthesis using Acinetobacter calcoaceticus,Trimethoprim,phenol ethers,30.0,15.0,10.0,spherical,disc_diffusion,Pseudomonas aeruginosa,Trimethoprim,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,48.0,37,soil,5.848108466,0.15383521,10.23809524,290.323,16.52993347,2.485378414,2.397562137,0.0,0.0,4.983978521,0.0,18.18111669,0.0,0.0,27.5262362,12.13273414,4.703740547,0,2,0,0,11.67010682,9.0,6.0
15,Ag,green_synthesis using Acinetobacter calcoaceticus,Kanamycin,Organooxygen compounds,30.0,15.0,10.0,spherical,disc_diffusion,Pseudomonas aeruginosa,Kanamycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,48.0,37,soil,10.93437059,-1.661604858,53.72727273,484.503,16.72393442,2.785013665,1.722064446,0.0,0.0,0.0,0.0,18.62843806,0.0,0.0,0.0,0.0,0.0,1,0,0,0,11.67010682,10.0,6.0
16,Ag,green_synthesis using Acinetobacter calcoaceticus,Amoxicillin,Lactams,30.0,15.0,10.0,spherical,disc_diffusion,Pseudomonas aeruginosa,Amoxicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,48.0,37,soil,12.3475389,-1.056554474,28.04,365.411,32.16690631,2.80360909,1.704346484,0.0,5.969305288,0.0,12.13273414,4.747022453,0.0,0.0,13.8474744,0.0,0.0,0,0,0,0,11.67010682,10.0,6.0
17,Au,green_synthesis from aqueous extract of Adiantum philippense,Amoxicillin,Lactams,19.25,25.0,34.0,spherical and triangular,well_diffusion,Staphylococcus aureus,Amoxicillin,https://www.sciencedirect.com/science/article/pii/S0928493115306846,196.967,0,0.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,36.0,37,skin,12.3475389,-1.056554474,28.04,365.411,32.16690631,2.80360909,1.704346484,0.0,5.969305288,0.0,12.13273414,4.747022453,0.0,0.0,13.8474744,0.0,0.0,0,0,0,0,17.11576918,15.32184835,6.6
18,Au,green_synthesis from aqueous extract of Adiantum philippense,Amoxicillin,Lactams,19.25,25.0,34.0,spherical and triangular,well_diffusion,Staphylococcus aureus,Amoxicillin,https://www.sciencedirect.com/science/article/pii/S0928493115306846,196.967,0,0.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,36.0,37,skin,12.3475389,-1.056554474,28.04,365.411,32.16690631,2.80360909,1.704346484,0.0,5.969305288,0.0,12.13273414,4.747022453,0.0,0.0,13.8474744,0.0,0.0,0,0,0,0,17.11576918,15.32184835,6.8
19,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,Vancomycin,carboxylic acids,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Enterobacter cloacae,Vancomycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Bacteria,Enterobacter cloacae,opportunistic pathogen,n,42.0,30,water,16.01721414,-2.345197559,29.43564356,1449.271,35.49679308,0.775398175,1.239428306,0.0,5.969305288,0.0,55.24845539,34.71646842,5.917906046,11.12690298,0.0,13.8474744,1.472308693,0,0,0,0,6.402480412,7.0,7.0
20,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,Trimethoprim,phenol ethers,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Salmonella typhi,Trimethoprim,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhi,pathogenic,n,252.0,37,blood,5.848108466,0.15383521,10.23809524,290.323,16.52993347,2.485378414,2.397562137,0.0,0.0,4.983978521,0.0,18.18111669,0.0,0.0,27.5262362,12.13273414,4.703740547,0,2,0,0,8.144160296,7.0,7.0
21,Ag,green_synthesis using Acinetobacter calcoaceticus,Vancomycin,carboxylic acids,30.0,15.0,10.0,spherical,disc_diffusion,Escherichia coli,Vancomycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,84.0,37,urine,16.01721414,-2.345197559,29.43564356,1449.271,35.49679308,0.775398175,1.239428306,0.0,5.969305288,0.0,55.24845539,34.71646842,5.917906046,11.12690298,0.0,13.8474744,1.472308693,0,0,0,0,8.347368469,9.0,7.0
22,Ag,green_synthesis using Acinetobacter calcoaceticus,Trimethoprim,phenol ethers,30.0,15.0,10.0,spherical,disc_diffusion,Acinetobacter baumannii,Trimethoprim,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,36.0,37,urine,5.848108466,0.15383521,10.23809524,290.323,16.52993347,2.485378414,2.397562137,0.0,0.0,4.983978521,0.0,18.18111669,0.0,0.0,27.5262362,12.13273414,4.703740547,0,2,0,0,9.185204854,9.0,7.0
