Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,source
ExtraTreesRegressor,0.742011267,0.901718578,0.928788615,0.167118311,processed
CatBoostRegressor,0.703929,0.887211,0.994981,0.699025,processed
GradientBoostingRegressor,0.682661348,0.879109085,1.030096709,0.119991779,processed
XGBRegressor,0.67702511,0.876961946,1.039204098,1.004817486,processed
RandomForestRegressor,0.668703964,0.873791986,1.052506128,0.236757278,processed
LGBMRegressor,0.632996474,0.860189133,1.107775183,0.059215784,processed
HistGradientBoostingRegressor,0.63079508,0.859350507,1.111092596,0.266319752,processed
MLPRegressor,0.625991262,0.857520481,1.118297587,0.646654367,processed
AdaBoostRegressor,0.561656222,0.833011894,1.210664859,0.131456137,processed
DecisionTreeRegressor,0.511586836,0.813937842,1.277939205,0.014023781,processed
BaggingRegressor,0.456996874,0.793141666,1.347465574,0.039000511,processed
SVR,0.334811573,0.746594885,1.491381857,0.013999939,processed
LassoLarsCV,0.293125046,0.730714303,1.537403305,0.063935995,processed
LassoCV,0.280133933,0.725765308,1.551466365,0.189804792,processed
Ridge,0.276346373,0.724322428,1.555542514,0.011008739,processed
SGDRegressor,0.275257721,0.723907703,1.556712139,0.012001276,processed
LassoLarsIC,0.274935055,0.723784783,1.557058636,0.056809425,processed
NuSVR,0.271945708,0.722645984,1.560265108,0.071343184,processed
RidgeCV,0.266375501,0.720524,1.566222384,0.017989874,processed
BayesianRidge,0.262808219,0.719165036,1.570025679,0.031004429,processed
LinearRegression,0.25841601,0.717491813,1.574695862,0.018063068,processed
TransformedTargetRegressor,0.25841601,0.717491813,1.574695862,0.017015696,processed
ElasticNetCV,0.251213042,0.714747825,1.582324852,0.121008158,processed
ExtraTreeRegressor,0.246113975,0.712805324,1.587703345,0.017993689,processed
OrthogonalMatchingPursuitCV,0.223421586,0.704160604,1.611421563,0.040053844,processed
KernelRidge,0.21928221,0.702583699,1.615710514,0.01806426,processed
LarsCV,0.193806236,0.692878566,1.641860409,0.037997961,processed
KNeighborsRegressor,0.141527747,0.672962951,1.694258389,0.019999027,processed
LinearSVR,0.134367433,0.670235213,1.701309421,0.048394442,processed
HuberRegressor,0.127328329,0.667553649,1.708212723,0.069742203,processed
OrthogonalMatchingPursuit,-0.062015415,0.595422699,1.884438305,0.027662516,processed
TweedieRegressor,-0.073352136,0.591103948,1.894469535,0.025994301,processed
ElasticNet,-0.497034415,0.429701175,2.237342155,0.010996103,processed
Lasso,-0.835329096,0.300827011,2.477270826,0.010035515,processed
LassoLars,-0.835333256,0.300825426,2.477273634,0.010265112,processed
PassiveAggressiveRegressor,-1.194470376,0.164011285,2.708827655,0.076683998,processed
GaussianProcessRegressor,-1.237439355,0.14764215,2.735219285,0.070985317,processed
DummyRegressor,-1.675943121,-0.019406903,2.991265434,0.009977102,processed
QuantileRegressor,-2.225766197,-0.228863313,3.284225408,0.043698549,processed
Lars,-8.68E+17,-3.31E+17,1703632845,0.017008305,processed
RANSACRegressor,-2.40E+26,-9.14E+25,2.83236E+13,0.136061907,processed
GradientBoostingRegressor,1.142465872,0.7251416,1.538127029,0.497315168,raw
XGBRegressor,1.181133782,0.650539875,1.590271349,1.540833712,raw
DecisionTreeRegressor,1.189898676,0.633629828,1.600532576,0.062998772,raw
KNeighborsRegressor,1.238422722,0.540012729,1.649945429,0.046173334,raw
BaggingRegressor,1.263968662,0.490727127,1.672047794,0.231164932,raw
HuberRegressor,1.268535444,0.481916467,1.675772416,0.144142628,raw
CatBoostRegressor,1.277732,0.464174,1.683084335,3.517267,raw
RandomForestRegressor,1.300744159,0.419776421,1.700370209,2.170866251,raw
LinearSVR,1.36570264,0.294452482,1.742835656,0.128256559,raw
AdaBoostRegressor,1.378420183,0.269916616,1.750258754,0.149884701,raw
PoissonRegressor,1.379332721,0.268156063,1.750781762,0.069946289,raw
LassoLarsIC,1.408759983,0.211382254,1.767005795,0.195561647,raw
ExtraTreesRegressor,1.414276901,0.200738504,1.769916968,1.263710022,raw
PassiveAggressiveRegressor,1.432675277,0.165242648,1.779352648,0.035996437,raw
TweedieRegressor,1.447558694,0.136528175,1.786696607,0.0531106,raw
BayesianRidge,1.447579951,0.136487164,1.786706921,0.280044556,raw
ElasticNet,1.455114083,0.121951617,1.790331746,0.084872961,raw
ElasticNetCV,1.455119527,0.121941115,1.790334343,0.921258926,raw
MLPRegressor,1.455884774,0.120464729,1.790699152,0.646450996,raw
LassoCV,1.473838937,0.085825889,1.799086981,0.998129368,raw
LarsCV,1.490088234,0.054476235,1.806408746,0.487348318,raw
RidgeCV,1.507729265,0.020441518,1.814087707,0.240024805,raw
LassoLarsCV,1.511352339,0.013451548,1.815631732,0.095191717,raw
Lasso,1.515270481,0.005892304,1.81728924,0.041999817,raw
LassoLars,1.515274977,0.005883631,1.817291134,0.052272081,raw
DummyRegressor,1.529893756,-0.022320277,1.823366009,0.039141655,raw
Ridge,1.52993741,-0.022404498,1.823383898,0.045631647,raw
NuSVR,1.53507651,-0.032319327,1.825479551,0.055796862,raw
KernelRidge,1.535876193,-0.033862149,1.82580384,0.119691372,raw
SVR,1.544854193,-0.051183341,1.829411757,0.058399439,raw
QuantileRegressor,1.554697665,-0.070174283,1.833299777,0.141007185,raw
GaussianProcessRegressor,1.555461938,-0.071648789,1.833598761,0.161761761,raw
OrthogonalMatchingPursuit,1.571318237,-0.102240236,1.839710652,0.038998127,raw
RANSACRegressor,1.571758663,-0.103089946,1.839877985,5.127145052,raw
OrthogonalMatchingPursuitCV,1.573926628,-0.107272585,1.840699796,0.064006329,raw
LGBMRegressor,1.575752332,-0.110794903,1.841389461,0.194281816,raw
LinearRegression,1.586375068,-0.131289272,1.845359356,0.170137167,raw
TransformedTargetRegressor,1.586375068,-0.131289272,1.845359356,0.08817029,raw
HistGradientBoostingRegressor,1.594787865,-0.147520023,1.848452658,0.884870052,raw
ExtraTreeRegressor,3.469646041,-3.764670644,2.157588965,0.051761389,raw
SGDRegressor,5.018851402,-6.753541594,2.263322583,0.062033415,raw
