Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,source
GradientBoostingRegressor,0.680001918,0.790423792,4.190529195,0.152005672,processed
HistGradientBoostingRegressor,0.66579477,0.78111911,4.282543711,0.110994101,processed
CatBoostRegressor,0.66,0.78,4.33,0.95,processed
LGBMRegressor,0.659155518,0.776770868,4.324872582,0.048164129,processed
XGBRegressor,0.655983243,0.774693251,4.344952283,1.317850828,processed
ExtraTreesRegressor,0.621123614,0.751862649,4.559780661,0.352181911,processed
RandomForestRegressor,0.615089823,0.747910941,4.595945608,0.510891199,processed
TransformedTargetRegressor,0.586409124,0.729127102,4.764097689,0.024952173,processed
LinearRegression,0.586409124,0.729127102,4.764097689,0.018736362,processed
Ridge,0.586263125,0.729031483,4.764938486,0.010000467,processed
RidgeCV,0.582240541,0.726396974,4.788046166,0.047113657,processed
SGDRegressor,0.580301742,0.725127197,4.799143841,0.00999999,processed
BayesianRidge,0.580268308,0.725105301,4.799334987,0.058364153,processed
LassoLarsIC,0.577994421,0.723616065,4.812317572,0.023421764,processed
BaggingRegressor,0.5777795,0.723475307,4.813542836,0.060000896,processed
ElasticNetCV,0.576515276,0.722647329,4.820743871,0.054000854,processed
HuberRegressor,0.574201275,0.721131821,4.833896662,0.057526588,processed
PoissonRegressor,0.564291361,0.714641525,4.889824463,0.0189991,processed
LinearSVR,0.544683292,0.701799621,4.998641342,0.017999649,processed
MLPRegressor,0.51316318,0.681156167,5.168766245,0.391175508,processed
LassoCV,0.49621041,0.670053297,5.257990267,0.069926739,processed
LassoLarsCV,0.495374809,0.669506037,5.262348996,0.041999817,processed
LarsCV,0.495374809,0.669506037,5.262348996,0.034003496,processed
OrthogonalMatchingPursuit,0.495075005,0.669309686,5.263911977,0.009000301,processed
OrthogonalMatchingPursuitCV,0.45522303,0.643209449,5.46769843,0.016000748,processed
LassoLars,0.428904686,0.625972788,5.598213814,0.008999825,processed
Lasso,0.428904686,0.625972788,5.598213814,0.009070873,processed
AdaBoostRegressor,0.388299234,0.599379076,5.793815958,0.096998692,processed
ElasticNet,0.350282397,0.574480725,5.971143383,0.009000301,processed
GammaRegressor,0.340216394,0.567888201,6.017220738,0.056368828,processed
TweedieRegressor,0.322838789,0.556507094,6.095947526,0.014002085,processed
DecisionTreeRegressor,0.299172092,0.541007074,6.201558963,0.014998913,processed
SVR,0.250395982,0.509062157,6.413736837,0.024993896,processed
NuSVR,0.17302379,0.45838882,6.736614434,0.020682812,processed
KNeighborsRegressor,0.171132542,0.457150186,6.744313164,0.013001919,processed
PassiveAggressiveRegressor,0.118803114,0.422878096,6.953951547,0.010000229,processed
ExtraTreeRegressor,-0.047574863,0.313912238,7.582068744,0.011999607,processed
Lars,-0.495564106,0.020510832,9.059363799,0.012999773,processed
QuantileRegressor,-0.530496485,-0.002367416,9.164554361,0.040000439,processed
DummyRegressor,-0.545119907,-0.011944728,9.208232521,0.007999897,processed
KernelRidge,-6.668704175,-4.022461185,20.51427513,0.083038807,processed
GaussianProcessRegressor,-6.767461671,-4.08714039,20.64594389,0.111321688,processed
GradientBoostingRegressor,2.909316229,0.273921998,9.330926098,0.710827589,raw
PoissonRegressor,2.946372733,0.259830088,9.421039478,0.048006296,raw
LassoLarsIC,2.958518758,0.255211177,9.450389,0.056638718,raw
LassoLarsCV,2.958871194,0.255077152,9.451239262,0.092616081,raw
LassoCV,2.96443659,0.252960733,9.464655812,1.163939238,raw
OrthogonalMatchingPursuitCV,2.975242536,0.24885143,9.490651635,0.056995153,raw
ElasticNetCV,2.978563901,0.247588376,9.498627538,0.99840641,raw
BayesianRidge,2.983339279,0.245772387,9.510083371,0.057745218,raw
LarsCV,2.991399888,0.242707085,9.529389028,0.348998547,raw
RandomForestRegressor,2.997589146,0.240353424,9.544186178,3.113570452,raw
ElasticNet,3.010976033,0.235262635,9.576113064,0.020132065,raw
Lasso,3.011960013,0.234888446,9.578455595,0.01800108,raw
LassoLars,3.011960095,0.234888414,9.578455793,0.020000458,raw
HuberRegressor,3.029280138,0.228301919,9.619595712,0.155223846,raw
OrthogonalMatchingPursuit,3.035545903,0.225919163,9.634435377,0.02099967,raw
RidgeCV,3.05627785,0.218035184,9.683374236,0.052601337,raw
TweedieRegressor,3.078812208,0.20946578,9.73628879,0.022999763,raw
Ridge,3.082708792,0.207983981,9.745409504,0.021999836,raw
LinearSVR,3.10631768,0.199005953,9.800489198,0.147322416,raw
HistGradientBoostingRegressor,3.109801665,0.197681057,9.80859117,1.039793253,raw
LGBMRegressor,3.194732145,0.16538355,10.00406673,0.123386145,raw
XGBRegressor,3.307800931,0.122385561,10.25852676,1.399904251,raw
NuSVR,3.334356139,0.112287102,10.31737878,0.062999725,raw
SVR,3.336706839,0.111393174,10.32257228,0.08667326,raw
MLPRegressor,3.399972922,0.087334241,10.46138026,1.049132824,raw
SGDRegressor,3.483796816,0.055457549,10.6425047,0.061580658,raw
BaggingRegressor,3.491847158,0.052396151,10.65973769,0.321117878,raw
