,Bacteria,Drug,reference,doi,time (hr),MDR,MDR,MIC_drug (μg/ml),Phylum,Class,Order,Family,Genus,bac_type,gram,"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C",biosafety_level,isolated_from,smile,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,Staphylococcus aureus,Cefazolin,https://www.nature.com/articles/srep29982,10.1038/srep29982,,,0,0.625,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24.0,36.0,48.0,37.0,2.0,skin,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,12.59807743,12.59807743,0.015312526,-1.160962284,0.405190454,21.0,454.519,440.407,454.0300139,152.0,0.0,0.352158498,-0.476560678,0.476560678,0.352158498,1.413793103,2.24137931,2.896551724,32.19471231,10.03057668,2.536350125,-2.490297174,2.412818858,-2.703841703,8.014503377,-0.150372879,3.345806278,1.437412095,990.9137443,20.54324112,14.88056966,17.3300594,13.93556075,8.267999599,11.11884953,6.095372751,9.604477186,4.140728478,7.538646067,2.898885851,6.199438783,-2.52,4550942.279,19.78162067,8.076871617,3.970577608,175.6678606,10.423316,34.99245313,4.339655681,5.907179729,5.907179729,5.969305288,14.4889841,9.476340119,0.0,27.05793037,23.09867083,22.92361192,11.50570721,0.0,19.49013895,52.64422052,0.0,40.62131689,0.0,29.22386293,11.50570721,22.60508761,0.0,0.0,5.316788604,0.0,0.0,34.86055578,81.11614128,20.92836796,6.9237372,5.007623697,21.9371196,0.0,0.0,0.0,156.09,29.19937839,19.49013895,0.0,12.24179572,17.07881174,9.347279378,50.76958852,0.0,6.9237372,31.03960422,0.0,1.978424632,4.242892128,37.81929318,31.12559746,0.626742533,-1.188987321,-0.77930935,1.290194444,1.718485634,0.0,0.428571429,29.0,2.0,12.0,0.0,2.0,2.0,0.0,2.0,2.0,12.0,2.0,15.0,7.0,0.0,1.0,1.0,4.0,-0.63608,102.8715,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,Pseudomonas aeruginosa,Cefazolin,https://www.nature.com/articles/srep29982,,,,0,0.625,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24.0,48.0,72.0,37.0,2.0,soil,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,12.59807743,12.59807743,0.015312526,-1.160962284,0.405190454,21.0,454.519,440.407,454.0300139,152.0,0.0,0.352158498,-0.476560678,0.476560678,0.352158498,1.413793103,2.24137931,2.896551724,32.19471231,10.03057668,2.536350125,-2.490297174,2.412818858,-2.703841703,8.014503377,-0.150372879,3.345806278,1.437412095,990.9137443,20.54324112,14.88056966,17.3300594,13.93556075,8.267999599,11.11884953,6.095372751,9.604477186,4.140728478,7.538646067,2.898885851,6.199438783,-2.52,4550942.279,19.78162067,8.076871617,3.970577608,175.6678606,10.423316,34.99245313,4.339655681,5.907179729,5.907179729,5.969305288,14.4889841,9.476340119,0.0,27.05793037,23.09867083,22.92361192,11.50570721,0.0,19.49013895,52.64422052,0.0,40.62131689,0.0,29.22386293,11.50570721,22.60508761,0.0,0.0,5.316788604,0.0,0.0,34.86055578,81.11614128,20.92836796,6.9237372,5.007623697,21.9371196,0.0,0.0,0.0,156.09,29.19937839,19.49013895,0.0,12.24179572,17.07881174,9.347279378,50.76958852,0.0,6.9237372,31.03960422,0.0,1.978424632,4.242892128,37.81929318,31.12559746,0.626742533,-1.188987321,-0.77930935,1.290194444,1.718485634,0.0,0.428571429,29.0,2.0,12.0,0.0,2.0,2.0,0.0,2.0,2.0,12.0,2.0,15.0,7.0,0.0,1.0,1.0,4.0,-0.63608,102.8715,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,Escherichia coli,Cefazolin,https://www.nature.com/articles/srep29982,,,,0,0.3125,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48.0,84.0,120.0,37.0,2.0,urine,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,12.59807743,12.59807743,0.015312526,-1.160962284,0.405190454,21.0,454.519,440.407,454.0300139,152.0,0.0,0.352158498,-0.476560678,0.476560678,0.352158498,1.413793103,2.24137931,2.896551724,32.19471231,10.03057668,2.536350125,-2.490297174,2.412818858,-2.703841703,8.014503377,-0.150372879,3.345806278,1.437412095,990.9137443,20.54324112,14.88056966,17.3300594,13.93556075,8.267999599,11.11884953,6.095372751,9.604477186,4.140728478,7.538646067,2.898885851,6.199438783,-2.52,4550942.279,19.78162067,8.076871617,3.970577608,175.6678606,10.423316,34.99245313,4.339655681,5.907179729,5.907179729,5.969305288,14.4889841,9.476340119,0.0,27.05793037,23.09867083,22.92361192,11.50570721,0.0,19.49013895,52.64422052,0.0,40.62131689,0.0,29.22386293,11.50570721,22.60508761,0.0,0.0,5.316788604,0.0,0.0,34.86055578,81.11614128,20.92836796,6.9237372,5.007623697,21.9371196,0.0,0.0,0.0,156.09,29.19937839,19.49013895,0.0,12.24179572,17.07881174,9.347279378,50.76958852,0.0,6.9237372,31.03960422,0.0,1.978424632,4.242892128,37.81929318,31.12559746,0.626742533,-1.188987321,-0.77930935,1.290194444,1.718485634,0.0,0.428571429,29.0,2.0,12.0,0.0,2.0,2.0,0.0,2.0,2.0,12.0,2.0,15.0,7.0,0.0,1.0,1.0,4.0,-0.63608,102.8715,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,Staphylococcus aureus,Mupirocin,https://www.nature.com/articles/srep29982,,,,0,0.625,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24.0,36.0,48.0,37.0,2.0,skin,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,12.05413057,12.05413057,0.016026538,-1.06017789,0.108655686,30.51428571,500.629,456.277,500.298533,202.0,0.0,0.330184679,-0.48123039,0.48123039,0.330184679,1.028571429,1.685714286,2.342857143,16.59843319,9.852450919,2.48014299,-2.375087833,2.380338532,-2.500875823,5.822051505,-0.16479648,3.554535639,1.61507222,692.3099433,25.95745468,21.30442285,21.30442285,16.59513191,12.9671837,12.9671837,10.21499274,10.21499274,7.090840517,7.090840517,4.589106345,4.589106345,-1.52,46042084.97,29.70865402,14.89886652,10.55025967,208.0021534,34.63669844,6.103966388,0.0,0.0,0.0,11.93861058,4.794537184,4.794537184,0.0,0.0,38.18012822,39.53076089,24.33265382,43.73359587,44.22577281,11.93861058,0.0,0.0,11.83581209,115.1824045,13.21376393,11.64912464,0.0,0.0,0.0,0.0,0.0,0.0,82.20228241,23.79966323,11.83581209,78.55860621,11.64912464,0.0,0.0,0.0,146.05,36.35447613,24.90865655,0.0,30.46456649,38.04933333,32.10410811,6.076020107,13.8474744,6.9237372,0.0,19.31711626,16.71900964,0.0,22.51096572,39.4698355,0.707850887,-1.421955429,0.0,4.614026473,6.066933873,0.0,0.846153846,35.0,4.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,4.0,9.0,16.0,0.0,2.0,2.0,2.0,2.5925,128.6542,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
4,Pseudomonas aeruginosa,Mupirocin,https://www.nature.com/articles/srep29982,,,,0,0.3125,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24.0,48.0,72.0,37.0,2.0,soil,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,12.05413057,12.05413057,0.016026538,-1.06017789,0.108655686,30.51428571,500.629,456.277,500.298533,202.0,0.0,0.330184679,-0.48123039,0.48123039,0.330184679,1.028571429,1.685714286,2.342857143,16.59843319,9.852450919,2.48014299,-2.375087833,2.380338532,-2.500875823,5.822051505,-0.16479648,3.554535639,1.61507222,692.3099433,25.95745468,21.30442285,21.30442285,16.59513191,12.9671837,12.9671837,10.21499274,10.21499274,7.090840517,7.090840517,4.589106345,4.589106345,-1.52,46042084.97,29.70865402,14.89886652,10.55025967,208.0021534,34.63669844,6.103966388,0.0,0.0,0.0,11.93861058,4.794537184,4.794537184,0.0,0.0,38.18012822,39.53076089,24.33265382,43.73359587,44.22577281,11.93861058,0.0,0.0,11.83581209,115.1824045,13.21376393,11.64912464,0.0,0.0,0.0,0.0,0.0,0.0,82.20228241,23.79966323,11.83581209,78.55860621,11.64912464,0.0,0.0,0.0,146.05,36.35447613,24.90865655,0.0,30.46456649,38.04933333,32.10410811,6.076020107,13.8474744,6.9237372,0.0,19.31711626,16.71900964,0.0,22.51096572,39.4698355,0.707850887,-1.421955429,0.0,4.614026473,6.066933873,0.0,0.846153846,35.0,4.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,4.0,9.0,16.0,0.0,2.0,2.0,2.0,2.5925,128.6542,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
5,Escherichia coli,Mupirocin,https://www.nature.com/articles/srep29982,,,,0,0.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48.0,84.0,120.0,37.0,2.0,urine,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,12.05413057,12.05413057,0.016026538,-1.06017789,0.108655686,30.51428571,500.629,456.277,500.298533,202.0,0.0,0.330184679,-0.48123039,0.48123039,0.330184679,1.028571429,1.685714286,2.342857143,16.59843319,9.852450919,2.48014299,-2.375087833,2.380338532,-2.500875823,5.822051505,-0.16479648,3.554535639,1.61507222,692.3099433,25.95745468,21.30442285,21.30442285,16.59513191,12.9671837,12.9671837,10.21499274,10.21499274,7.090840517,7.090840517,4.589106345,4.589106345,-1.52,46042084.97,29.70865402,14.89886652,10.55025967,208.0021534,34.63669844,6.103966388,0.0,0.0,0.0,11.93861058,4.794537184,4.794537184,0.0,0.0,38.18012822,39.53076089,24.33265382,43.73359587,44.22577281,11.93861058,0.0,0.0,11.83581209,115.1824045,13.21376393,11.64912464,0.0,0.0,0.0,0.0,0.0,0.0,82.20228241,23.79966323,11.83581209,78.55860621,11.64912464,0.0,0.0,0.0,146.05,36.35447613,24.90865655,0.0,30.46456649,38.04933333,32.10410811,6.076020107,13.8474744,6.9237372,0.0,19.31711626,16.71900964,0.0,22.51096572,39.4698355,0.707850887,-1.421955429,0.0,4.614026473,6.066933873,0.0,0.846153846,35.0,4.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,4.0,9.0,16.0,0.0,2.0,2.0,2.0,2.5925,128.6542,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
6,Staphylococcus aureus,Gentamicin,https://www.nature.com/articles/srep29982,,,,0,1.25,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24.0,36.0,48.0,37.0,2.0,skin,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,11.12947795,11.12947795,0.061970558,-1.286897326,0.18159831,50.18181818,477.603,434.259,477.3162487,194.0,0.0,0.185231785,-0.387562324,0.387562324,0.185231785,0.96969697,1.575757576,2.151515152,16.71320241,9.837052613,2.504826637,-2.481580059,2.313476246,-2.683726295,5.015798641,-0.306890394,2.756468014,1.684740507,631.8109458,24.49927104,19.96331511,19.96331511,15.49443815,11.77518443,11.77518443,9.910387027,9.910387027,7.241262277,7.241262277,5.035046986,5.035046986,-0.48,12965995.53,27.11323763,11.06123346,5.850381762,194.9768785,62.10161364,30.01691636,12.58005346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.20528323,18.12552249,24.79453001,34.267034,0.0,0.0,10.63357721,17.20100243,112.0200796,20.70222593,0.0,0.0,0.0,27.83457964,0.0,0.0,0.0,114.9319485,18.94745182,0.0,33.10993927,0.0,0.0,0.0,0.0,199.73,60.72249231,15.31958218,0.0,24.79453001,12.84164325,6.420821623,0.0,13.97140918,13.97140918,10.63357721,36.14845425,23.72099155,0.0,0.0,38.34001374,17.50735587,0.0,-2.111818886,-4.221864506,3.522556988,3.492765241,1.0,33.0,11.0,12.0,1.0,2.0,3.0,0.0,0.0,0.0,12.0,8.0,12.0,7.0,1.0,2.0,3.0,3.0,-3.3275,119.931,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Pseudomonas aeruginosa,Gentamicin,https://www.nature.com/articles/srep29982,,,,0,0.625,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24.0,48.0,72.0,37.0,2.0,soil,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,11.12947795,11.12947795,0.061970558,-1.286897326,0.18159831,50.18181818,477.603,434.259,477.3162487,194.0,0.0,0.185231785,-0.387562324,0.387562324,0.185231785,0.96969697,1.575757576,2.151515152,16.71320241,9.837052613,2.504826637,-2.481580059,2.313476246,-2.683726295,5.015798641,-0.306890394,2.756468014,1.684740507,631.8109458,24.49927104,19.96331511,19.96331511,15.49443815,11.77518443,11.77518443,9.910387027,9.910387027,7.241262277,7.241262277,5.035046986,5.035046986,-0.48,12965995.53,27.11323763,11.06123346,5.850381762,194.9768785,62.10161364,30.01691636,12.58005346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.20528323,18.12552249,24.79453001,34.267034,0.0,0.0,10.63357721,17.20100243,112.0200796,20.70222593,0.0,0.0,0.0,27.83457964,0.0,0.0,0.0,114.9319485,18.94745182,0.0,33.10993927,0.0,0.0,0.0,0.0,199.73,60.72249231,15.31958218,0.0,24.79453001,12.84164325,6.420821623,0.0,13.97140918,13.97140918,10.63357721,36.14845425,23.72099155,0.0,0.0,38.34001374,17.50735587,0.0,-2.111818886,-4.221864506,3.522556988,3.492765241,1.0,33.0,11.0,12.0,1.0,2.0,3.0,0.0,0.0,0.0,12.0,8.0,12.0,7.0,1.0,2.0,3.0,3.0,-3.3275,119.931,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Escherichia coli,Gentamicin,https://www.nature.com/articles/srep29982,,,,0,0.3125,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48.0,84.0,120.0,37.0,2.0,urine,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,11.12947795,11.12947795,0.061970558,-1.286897326,0.18159831,50.18181818,477.603,434.259,477.3162487,194.0,0.0,0.185231785,-0.387562324,0.387562324,0.185231785,0.96969697,1.575757576,2.151515152,16.71320241,9.837052613,2.504826637,-2.481580059,2.313476246,-2.683726295,5.015798641,-0.306890394,2.756468014,1.684740507,631.8109458,24.49927104,19.96331511,19.96331511,15.49443815,11.77518443,11.77518443,9.910387027,9.910387027,7.241262277,7.241262277,5.035046986,5.035046986,-0.48,12965995.53,27.11323763,11.06123346,5.850381762,194.9768785,62.10161364,30.01691636,12.58005346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.20528323,18.12552249,24.79453001,34.267034,0.0,0.0,10.63357721,17.20100243,112.0200796,20.70222593,0.0,0.0,0.0,27.83457964,0.0,0.0,0.0,114.9319485,18.94745182,0.0,33.10993927,0.0,0.0,0.0,0.0,199.73,60.72249231,15.31958218,0.0,24.79453001,12.84164325,6.420821623,0.0,13.97140918,13.97140918,10.63357721,36.14845425,23.72099155,0.0,0.0,38.34001374,17.50735587,0.0,-2.111818886,-4.221864506,3.522556988,3.492765241,1.0,33.0,11.0,12.0,1.0,2.0,3.0,0.0,0.0,0.0,12.0,8.0,12.0,7.0,1.0,2.0,3.0,3.0,-3.3275,119.931,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Staphylococcus aureus,Neomycin,https://www.nature.com/articles/srep29982,,,,0,0.625,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24.0,36.0,48.0,37.0,2.0,skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
